clusterId,bucketIstDay,billCount,obdNumbers,distinctSkusTogether_allMembers,distinctSkusSeparate_allMembers,savingPct_allMembers,cappedMemberCount,distinctSkusTogether_capped4,distinctSkusSeparate_capped4,savingPct_capped4,activeLineCount_allMembers,routes,windows,targetDates
W2-67,2026-08-01,8,9108649818;9108199233;9108651459;9108586584;9108246375;9108550585;9108550583;9108579880,8,16,50.0,4,6,10,40.0,16,Adajan;Ghod Dod;Varachha,(none);1;2;3,(none);2026-08-01
W2-68,2026-06-24,7,9107862731;9107882610;9107760740;9107760734;9107760739;9107891605;9107891602,13,28,53.6,4,13,20,35.0,30,Adajan;Bharuch;Ghod Dod;Vapi;Varachha,(none),(none)
W2-69,2026-08-10,7,9108740443;9108786244;9108785840;9108662181;9108652449;9108770339;9108751651,8,18,55.6,4,8,15,46.7,19,Adajan;Ghod Dod,(none);2;3,(none);2026-08-10
W2-70,2026-08-10,7,9108730682;9108652463;9108509771;9108793632;9108627097;9108794115;9108781142,20,46,56.5,4,19,38,50.0,46,Adajan;Bharuch;Ghod Dod;Varachha,1;3;4,2026-08-10;2026-08-11
W2-71,2026-07-21,7,9108331744;9108363155;9108369360;9108369361;9108404830;9108420420;9108365198,13,19,31.6,4,13,16,18.8,19,Adajan;Ghod Dod;Udhana;Varachha,1;2;3,2026-07-21;2026-07-22
W2-72,2026-07-02,7,9108021295;9108021296;9108027644;9108027643;9108027641;9108047811;9108030546,4,11,63.6,4,4,8,50.0,11,Ghod Dod;Varachha,(none),(none)
W2-73,2026-07-18,7,9108329179;9108329178;9108364026;9108329176;9108329177;9108329174;9108329175,3,9,66.7,4,3,6,50.0,9,Adajan;Bardoli;Bharuch;Ghod Dod;Varachha,(none);2;4,(none);2026-07-18
W2-74,2026-07-18,7,9108286155;9108286154;9108286157;9108329172;9108329171;9108329173;9108329180,1,7,85.7,4,1,4,75.0,7,Adajan;Ghod Dod;Udhana,(none);1,(none);2026-07-18
W2-75,2026-08-01,7,9108580951;9108655110;9108668800;9108665703;9108605872;9108550588;9108652710,32,38,15.8,4,21,24,12.5,43,Adajan;Bardoli;Ghod Dod;Udhana;Varachha,(none);1;2,(none);2026-08-01;2026-08-03
W2-76,2026-07-09,6,9108167727;9108109042;9108180717;9108161585;9108177523;9108186915,19,25,24.0,4,19,23,17.4,26,Adajan;Ghod Dod;Vapi,1;3;4,2026-07-09;2026-07-10;2026-07-12
W2-77,2026-08-11,6,9108829817;9108827705;9108827706;9108691243;9108816223;9108829034,26,37,29.7,4,25,31,19.4,37,Adajan;Navsari;Varachha,(none);1;2;3,(none);2026-08-11
W2-78,2026-07-22,6,9108438718;9108418863;9108431852;9108396467;9108277291;9108429622,1,6,83.3,4,1,4,75.0,6,Adajan;Ghod Dod,1;3,2026-07-22;2026-07-24
W2-79,2026-07-10,6,9107842492;9108214233;9108214238;9108214232;9108221212;9108221211,4,9,55.6,4,4,7,42.9,10,Bardoli;Navsari;Vapi,3;4,2026-07-11;2026-07-12
W2-80,2026-07-21,6,9108397420;9108415036;9108340259;9108409615;9108327367;9108394987,6,12,50.0,4,4,8,50.0,13,Adajan;Bardoli;Ghod Dod;Kamrej;Vapi,(none);1;4,(none);2026-07-21;2026-07-22
W2-81,2026-08-14,6,9108703168;9108904555;9108904553;9108904554;9108794255;9108794254,1,6,83.3,4,1,4,75.0,6,Adajan;Ghod Dod;Vapi,(none);1;4,(none);2026-08-14;2026-08-15
W2-82,2026-08-14,6,9108889437;9108851588;9108794256;9108887284;9108887285;9108865968,7,13,46.2,4,7,11,36.4,13,Adajan;Ghod Dod,(none);1;3,(none);2026-08-14;2026-08-15
W2-83,2026-06-27,6,9107958103;9107893684;9107943040;9107909191;9107816282;9107942324,26,33,21.2,4,22,27,18.5,34,Adajan;Ghod Dod;Parvat;Varachha,(none);3,(none);2026-06-27
W2-84,2026-07-14,6,9108209573;9108231713;9107827485;9108246735;9108270131;9108267735,11,16,31.3,4,10,13,23.1,17,Adajan;Ghod Dod;Vapi,(none);2;3;4,(none);2026-07-14
W2-85,2026-07-14,6,9108231712;9108012459;9108260130;9108260127;9108147390;9108010226,7,12,41.7,4,5,8,37.5,12,Adajan;Ghod Dod;Navsari;Varachha,(none);1;3;4,(none);2026-07-14
W2-86,2026-07-15,6,9108257769;9108277734;9108284869;9108301912;9108315402;9108279880,13,20,35.0,4,13,17,23.5,21,Adajan;Bharuch;Navsari;Udhana,1;2;3;4,2026-07-15;2026-07-16
W2-87,2026-07-27,6,9108247729;9108476152;9108522619;9108497299;9108436892;9108517768,13,20,35.0,4,10,15,33.3,20,Adajan;Bharuch;Ghod Dod;Parvat,1;2;3;4,2026-07-27;2026-07-28
W2-88,2026-07-11,6,9108179263;9108246203;9108122431;9108175586;9108170298;9108122435,9,14,35.7,4,9,12,25.0,14,Adajan;Chikhli;Vansda;Varachha,1;2;4,2026-07-11
