category,product,baseColour,sku_count,example_description
GLOSS,GLOSS,GOLDEN BROWN,7,DN GLOSS GOLDEN BROWN 100ML
GLOSS,GLOSS,GOLDEN YELLOW,6,DN GLOSS GOLDEN YELLOW 100ML
GLOSS,GLOSS,GREEN BASE,5,DN GLOSS GREEN BASE 0.9LT
GLOSS,GLOSS,LEAF BROWN,3,DN GLOSS LEAF BROWN 1LT
GLOSS,GLOSS,LIGHT GREY,3,DN GLOSS LIGHT GREY 1L
GLOSS,GLOSS,MAHOGANY,3,DN GLOSS MAHOGANY 1LT
GLOSS,GLOSS,MIDDLE BUFF,3,DN GLOSS MIDDLE BUFF 1L
GLOSS,GLOSS,MINT GREEN,6,DN GLOSS MINT GREEN 100ML
GLOSS,GLOSS,OFF WHITE,3,DN GLOSS OFF WHITE 1LT
GLOSS,GLOSS,OPALINE GREEN,1,DN GLOSS OPALINE GREEN 1LT
GLOSS,GLOSS,OXFORD BLUE,6,DN GLOSS OXFORD BLUE 100ML
GLOSS,GLOSS,PALE CREAM,3,DN GLOSS PALE CREAM 1LT
GLOSS,GLOSS,PHIROZA,6,DN GLOSS PHIROZA 100ML
GLOSS,GLOSS,PO RED,6,DN GLOSS PO RED 100ML
GLOSS,GLOSS,ROYAL IVORY,4,DN GLOSS ROYAL IVORY 1LT
GLOSS,GLOSS,SAND STONE,4,DN GLOSS SAND STONE 1LT
GLOSS,GLOSS,SIGNAL RED,4,DN GLOSS SIGNAL RED 1LT
GLOSS,GLOSS,SKY BLUE,4,DN GLOSS SKY BLUE 1L
GLOSS,GLOSS,SMOKE GREY,7,DN GLOSS SMOKE GREY 100ML
GLOSS,GLOSS,TRUCK BROWN,5,DN GLOSS TRUCK BROWN 10LT
GLOSS,GLOSS,WILD PURPLE,5,DN GLOSS WILD PURPLE 10LT
LUSTRE,LUSTRE,90 BASE,2,DN LUSTRE WHITE BASE 10LT
LUSTRE,LUSTRE,BRILLIANT WHITE,4,DN LUSTRE WHITE 10LT
M900,M900,90 BASE,1,DP M900 Gloss Enamel 90 Base 20L
M900,M900,92 BASE,1,DP M900 Gloss Enamel 92 Base 20L
M900,M900,94 BASE,1,DP M900 Gloss Enamel 94 Base 20L
M900,M900,BLACK,1,DP M900 Gloss Enamel Black 20L
M900,M900,BRILLIANT WHITE,1,DP M900 Gloss Enamel Brilliant White 20L
M900,M900,BUS GREEN,1,DP M900 Gloss Enamel Bus Green 20L
M900,M900,DARK BROWN,1,DP M900 Gloss Enamel Dark Brown 20L
M900,M900,GOLDEN BROWN,1,DP M900 Gloss Enamel Golden Brown 20L
M900,M900,GOLDEN YELLOW,1,DP M900 Gloss Enamel Golden Yellow 20L
M900,M900,PHIROZA BLUE,1,DP M900 Gloss Enamel Phiroza Blue 20L
M900,M900,PO RED,1,DP M900 Gloss Enamel PO Red 20L
M900,M900,SMOKE GREY,1,DP M900 Gloss Enamel Smoke Grey 20L
OTHER,COLORANT,,3,DN COG - COLANYL OXIDE GREEN CO 530 1L
PRIMER,ALKALI BLOC PRIMER,,4,DN WS ALKALI BLOC PRIMER 10L
PRIMER,DULUX WB CEMENT PRIMER,,3,DN DULUX WB CEMENT PRIMER 1L
PRIMER,EXTERIOR ACRYLIC PRIMER,,4,DN WS Prime coat Primer 10L
PRIMER,PROMISE 2IN1,,4,Promise 2 in 1 Primer Int & Ext 1 Ltr
PRIMER,PROMISE FREEDOM 2IN1,,4,Promise Freedom 2in1 Primer Int & Ext 1L
PRIMER,PROMISE PRIMER,,4,DN PROMISE PRIMER 10L
PRIMER,ROM,,5,DN ROM PRIMER 10L
PRIMER,SB CEMENT PRIMER,,4,DN SB CEMENT PRIMER 10L
PRIMER,ZINC YELLOW METAL PRIMER,,4,DN Zinc Yellow Metal Primer 1L
PROMISE,PROMISE EXTERIOR,90 BASE,4,DN Promise exterior White Base 10L
PROMISE,PROMISE EXTERIOR,92 BASE,5,DN PROMISE EXTERIOR 92 BASE 10L
PROMISE,PROMISE EXTERIOR,93 BASE,4,DN PROMISE EXTERIOR 93 BASE 0.925LTR
PROMISE,PROMISE EXTERIOR,94 BASE,5,DN PROMISE EXTERIOR 94 BASE 10L
PROMISE,PROMISE EXTERIOR,95 BASE,5,DN PROMISE EXTERIOR 95 BASE 10L
PROMISE,PROMISE EXTERIOR,96 BASE,5,DN PROMISE EXTERIOR 96 BASE 10L
PROMISE,PROMISE EXTERIOR,98 BASE,5,DN PROMISE EXTERIOR 98 BASE 10L
PROMISE,PROMISE EXTERIOR,BRILLIANT WHITE,7,DN PROMISE EXTERIOR WHITE 10L
PROMISE,PROMISE INTERIOR,,1,DN PROMISE INTERIOR ASCENT BASE 0.9L
PROMISE,PROMISE INTERIOR,90 BASE,4,DN PROMISE INTERIOR WHITE BASE 10L
PROMISE,PROMISE INTERIOR,92 BASE,6,DN PROMISE INTERIOR 92 BASE 10L
PROMISE,PROMISE INTERIOR,93 BASE,4,DN PROMISE INTERIOR 93 BASE 0.925LTR
PROMISE,PROMISE INTERIOR,94 BASE,2,DN PROMISE INTERIOR 94 BASE 1LTR
PROMISE,PROMISE INTERIOR,96 BASE,2,DN PROMISE INTERIOR 96 BASE 1L
PROMISE,PROMISE INTERIOR,97 BASE,2,DN PROMISE INTERIOR 97 BASE 1L
