proposedFamily,proposedTab,tabSeq,proposedBrandLine,brandSeq,proposedProduct,proposedBase,proposedDisplayName,proposedSearchTokens,material,description,pack,isPrimary,currentHydration,note
SADOLIN,Matt,2,2K PU,2,2K PU MATT,Exterior Clear,2K Pu Matt - Exterior Clear,"2K PU MATT,2KPU,SADOLIN,WOODCARE,EXTERIOR CLEAR",IN35201272,DN SADOLIN EXTERIOR CLR 2KPU MATT 1L,1L,true,POOLED,
SADOLIN,Matt,2,2K PU,2,2K PU MATT,Exterior Clear,2K Pu Matt - Exterior Clear,"2K PU MATT,2KPU,SADOLIN,WOODCARE,EXTERIOR CLEAR",IN35201281,DN SADOLIN EXTERIOR CLR 2KPU MATT 20L,20L,true,POOLED,
SADOLIN,Matt,2,2K PU,2,2K PU MATT,Interior Clear,2K Pu Matt - Interior Clear,"2K PU MATT,2KPU,SADOLIN,WOODCARE,INTERIOR CLEAR",IN35201071,DN SADOLIN INTERIOR CLR 2KPU MATT 4L,4L,true,POOLED,
SADOLIN,Matt,2,2K PU,2,2K PU MATT,Interior Clear,2K Pu Matt - Interior Clear,"2K PU MATT,2KPU,SADOLIN,WOODCARE,INTERIOR CLEAR",IN35201072,DN SADOLIN INTERIOR CLR 2KPU MATT 1L,1L,true,POOLED,
SADOLIN,Matt,2,2K PU,2,2K PU MATT,Interior Clear,2K Pu Matt - Interior Clear,"2K PU MATT,2KPU,SADOLIN,WOODCARE,INTERIOR CLEAR",IN35201081,DN SADOLIN INTERIOR CLR 2KPU MATT 20L,20L,true,POOLED,
SADOLIN,Matt,2,2K PU,2,2K PU MATT,Opaque White,2K Pu Matt - Opaque White,"2K PU MATT,2KPU,SADOLIN,WOODCARE,OPAQUE WHITE",IN35201671,DN SADOLIN OPQ 2KPU MATT WHITE 4L,4L,true,POOLED,
SADOLIN,Matt,2,2K PU,2,2K PU MATT,Opaque White,2K Pu Matt - Opaque White,"2K PU MATT,2KPU,SADOLIN,WOODCARE,OPAQUE WHITE",IN35201672,DN SADOLIN OPQ 2KPU MATT WHITE 1L,1L,true,POOLED,
SADOLIN,Matt,2,2K PU,2,2K PU MATT,Opaque White,2K Pu Matt - Opaque White,"2K PU MATT,2KPU,SADOLIN,WOODCARE,OPAQUE WHITE",IN35201681,DN SADOLIN OPQ 2KPU MATT WHITE 20L,20L,true,POOLED,
SADOLIN,Matt,2,HYDRO PU,3,HYDRO PU DEAD MATT,Interior Clear,Hydro PU Dead Matt - Interior Clear,"HYDRO PU DEAD MATT,HYDRO PU,WATERBASED PU,WATER BASED,SADOLIN,WOODCARE,G10,INTERIOR",5746644,DN SADOLIN HYDRO PU INT G10 DEAD MATT 1L,1L,TRUE,NEW (not in DB yet),NEW SKU - insert into stock
SADOLIN,Matt,2,HYDRO PU,3,HYDRO PU DEAD MATT,Interior Clear,Hydro PU Dead Matt - Interior Clear,"HYDRO PU DEAD MATT,HYDRO PU,WATERBASED PU,WATER BASED,SADOLIN,WOODCARE,G10,INTERIOR",5746645,DN SADOLIN HYDRO PU INT G10 DEAD MATT 4L,4L,TRUE,NEW (not in DB yet),NEW SKU - insert into stock
SADOLIN,Matt,2,HYDRO PU,3,HYDRO PU MATT,Interior Clear,Hydro PU Matt - Interior Clear,"HYDRO PU MATT,HYDRO PU,WATERBASED PU,WATER BASED,SADOLIN,WOODCARE,G20,INTERIOR",5746708,DN SADOLIN HYDRO PU INT G20 MATT 1L,1L,TRUE,NEW (not in DB yet),NEW SKU - insert into stock
SADOLIN,Matt,2,HYDRO PU,3,HYDRO PU MATT,Interior Clear,Hydro PU Matt - Interior Clear,"HYDRO PU MATT,HYDRO PU,WATERBASED PU,WATER BASED,SADOLIN,WOODCARE,G20,INTERIOR",5746709,DN SADOLIN HYDRO PU INT G20 MATT 4L,4L,TRUE,NEW (not in DB yet),NEW SKU - insert into stock
SADOLIN,Matt,2,PU PRIME,4,PU PRIME MATT,90 Base,Pu Prime Matt - 90 Base,"PU PRIME MATT,PUPRIME,SADOLIN,WOODCARE,90 BASE",5841499,DN SADOLIN PU PRIME 90 BASE MATT 1L,1L,true,POOLED,
SADOLIN,Matt,2,PU PRIME,4,PU PRIME MATT,90 Base,Pu Prime Matt - 90 Base,"PU PRIME MATT,PUPRIME,SADOLIN,WOODCARE,90 BASE",5841500,DPP-SADOLIN PU PRIME MATT BAS 90WHT 4L,4L,true,POOLED,
SADOLIN,Matt,2,PU PRIME,4,PU PRIME MATT,90 Base,Pu Prime Matt - 90 Base,"PU PRIME MATT,PUPRIME,SADOLIN,WOODCARE,90 BASE",5841501,DN SADOLIN PU PRIME 90 BASE MATT 20L,20L,true,POOLED,
SADOLIN,Matt,2,PU PRIME,4,PU PRIME MATT,93 Base,Pu Prime Matt - 93 Base,"PU PRIME MATT,PUPRIME,SADOLIN,WOODCARE,93 BASE",5841505,DN SADOLIN PU PRIME 93 BASE MATT 1L,1L,true,POOLED,
SADOLIN,Matt,2,PU PRIME,4,PU PRIME MATT,93 Base,Pu Prime Matt - 93 Base,"PU PRIME MATT,PUPRIME,SADOLIN,WOODCARE,93 BASE",5841506,DN SADOLIN PU PRIME MATT 93 BASE 4L,4L,true,POOLED,
SADOLIN,Matt,2,PU PRIME,4,PU PRIME MATT,93 Base,Pu Prime Matt - 93 Base,"PU PRIME MATT,PUPRIME,SADOLIN,WOODCARE,93 BASE",5841507,DN SADOLIN PU PRIME 93 BASE MATT 20L,20L,true,POOLED,
SADOLIN,Matt,2,PU PRIME,4,PU PRIME MATT,Clear,Pu Prime Matt - Clear,"PU PRIME MATT,PUPRIME,SADOLIN,WOODCARE,CLEAR",5826212,DN SADOLIN PU PRIME CLEAR MATT 1L,1L,true,POOLED,
SADOLIN,Matt,2,PU PRIME,4,PU PRIME MATT,Clear,Pu Prime Matt - Clear,"PU PRIME MATT,PUPRIME,SADOLIN,WOODCARE,CLEAR",5826213,DN SADOLIN PU PRIME CLEAR MATT 4L,4L,true,POOLED,
SADOLIN,Matt,2,PU PRIME,4,PU PRIME MATT,Clear,Pu Prime Matt - Clear,"PU PRIME MATT,PUPRIME,SADOLIN,WOODCARE,CLEAR",5826214,DN SADOLIN PU PRIME CLEAR MATT 20L,20L,true,POOLED,
SADOLIN,Matt,2,PU PRIME,4,PU PRIME MATT,White,Pu Prime Matt - White,"PU PRIME MATT,PUPRIME,SADOLIN,WOODCARE,WHITE",5826248,DN SADOLIN PU PRIME WHITE MATT 1L,1L,true,POOLED,
SADOLIN,Matt,2,PU PRIME,4,PU PRIME MATT,White,Pu Prime Matt - White,"PU PRIME MATT,PUPRIME,SADOLIN,WOODCARE,WHITE",5826249,DN SADOLIN PU PRIME WHITE MATT 4L,4L,true,POOLED,
SADOLIN,Matt,2,LUXURIO,5,LUXURIO MATT,90 Base,Luxurio Matt - 90 Base,"LUXURIO MATT,LUXURIO,SADOLIN,WOODCARE,90 BASE",5841514,DPP-SADOLIN LUXURIOPUMATT BAS90 WHT 1L,1L,true,POOLED,
SADOLIN,Matt,2,LUXURIO,5,LUXURIO MATT,90 Base,Luxurio Matt - 90 Base,"LUXURIO MATT,LUXURIO,SADOLIN,WOODCARE,90 BASE",5841515,DPP-SADOLIN LUXURIOPUMATT BAS90 WHT 4L,4L,true,POOLED,
SADOLIN,Matt,2,LUXURIO,5,LUXURIO MATT,93 Base,Luxurio Matt - 93 Base,"LUXURIO MATT,LUXURIO,SADOLIN,WOODCARE,93 BASE",5841670,DN SADOLIN LUXURIO PU MATT 93 BASE 1L,1L,true,POOLED,
SADOLIN,Matt,2,LUXURIO,5,LUXURIO MATT,93 Base,Luxurio Matt - 93 Base,"LUXURIO MATT,LUXURIO,SADOLIN,WOODCARE,93 BASE",5841671,DN SADOLIN LUXURIO PU MATT 93 BASE 4L,4L,true,POOLED,
SADOLIN,Matt,2,LUXURIO,5,LUXURIO MATT,Black,Luxurio Matt - Black,"LUXURIO MATT,LUXURIO,SADOLIN,WOODCARE,BLACK",5794050,DN SADOLIN LUXURIO PU MATT BLACK 1L,1L,true,POOLED,
SADOLIN,Matt,2,LUXURIO,5,LUXURIO MATT,Black,Luxurio Matt - Black,"LUXURIO MATT,LUXURIO,SADOLIN,WOODCARE,BLACK",5794051,DN SADOLIN LUXURIO PU MATT BLACK 4L,4L,true,POOLED,
SADOLIN,Matt,2,LUXURIO,5,LUXURIO MATT,Clear,Luxurio Matt - Clear,"LUXURIO MATT,LUXURIO,SADOLIN,WOODCARE,CLEAR",5600819,DN SADOLIN LUXURIO PU MATT 1L,1L,true,POOLED,
SADOLIN,Matt,2,LUXURIO,5,LUXURIO MATT,Clear,Luxurio Matt - Clear,"LUXURIO MATT,LUXURIO,SADOLIN,WOODCARE,CLEAR",5600822,DN SADOLIN LUXURIO PU MATT 4L,4L,true,POOLED,
SADOLIN,Matt,2,LUXURIO,5,LUXURIO MATT,Clear,Luxurio Matt - Clear,"LUXURIO MATT,LUXURIO,SADOLIN,WOODCARE,CLEAR",5600825,DN SADOLIN LUXURIO PU MATT 30L,30L,true,POOLED,
SADOLIN,Matt,2,LUXURIO,5,LUXURIO MATT,White,Luxurio Matt - White,"LUXURIO MATT,LUXURIO,SADOLIN,WOODCARE,WHITE",5794047,DN SADOLIN LUXURIO PU MATT WHITE 1L,1L,true,POOLED,
SADOLIN,Matt,2,LUXURIO,5,LUXURIO MATT,White,Luxurio Matt - White,"LUXURIO MATT,LUXURIO,SADOLIN,WOODCARE,WHITE",5794048,DN SADOLIN LUXURIO PU MATT WHITE 4L,4L,true,POOLED,
SADOLIN,Matt,2,MELAMINE,6,MELAMINE MATT,Clear,Melamine Matt - Clear,"MELAMINE MATT,SADOLIN,WOODCARE",IN35200671,DN SADOLIN INT CLR MELAMINE MATT 4L,4L,true,OK,
SADOLIN,Matt,2,MELAMINE,6,MELAMINE MATT,Clear,Melamine Matt - Clear,"MELAMINE MATT,SADOLIN,WOODCARE",IN35200672,DN SADOLIN INT CLR MELAMINE MATT 1L,1L,true,OK,
SADOLIN,Matt,2,MELAMINE,6,MELAMINE MATT,Clear,Melamine Matt - Clear,"MELAMINE MATT,SADOLIN,WOODCARE",IN35200681,DN SADOLIN INT CLR MELAMINE MATT 20L,20L,true,OK,
SADOLIN,Sealer,3,2K PU,2,2K PU PRIMER SURFACER,White,2K Pu Primer Surfacer,"2K PU PRIMER SURFACER,SADOLIN",IN35201571,DN SADOLIN OPQ 2KPU PRIMER SURFACER 4L,4L,true,OK,
SADOLIN,Sealer,3,2K PU,2,2K PU PRIMER SURFACER,White,2K Pu Primer Surfacer,"2K PU PRIMER SURFACER,SADOLIN",IN35201572,DN SADOLIN OPQ 2KPU PRIMER SURFACER 1L,1L,true,OK,
SADOLIN,Sealer,3,2K PU,2,2K PU PRIMER SURFACER,White,2K Pu Primer Surfacer,"2K PU PRIMER SURFACER,SADOLIN",IN35201581,DN SADOLIN OPQ 2KPU PRIMER SURFACER 20L,20L,true,OK,
SADOLIN,Sealer,3,2K PU,2,2K PU SEALER,Exterior Clear,2K Pu Sealer - Exterior Clear,"2K PU SEALER,2KPU,SADOLIN,WOODCARE,EXTERIOR CLEAR",IN35200171,DN SADOLIN EXTERIOR CLR 2KPU SEALER 4L,4L,true,POOLED,
SADOLIN,Sealer,3,2K PU,2,2K PU SEALER,Exterior Clear,2K Pu Sealer - Exterior Clear,"2K PU SEALER,2KPU,SADOLIN,WOODCARE,EXTERIOR CLEAR",IN35200172,DN SADOLIN EXTERIOR CLR 2KPU SEALER 1L,1L,true,POOLED,
SADOLIN,Sealer,3,2K PU,2,2K PU SEALER,Exterior Clear,2K Pu Sealer - Exterior Clear,"2K PU SEALER,2KPU,SADOLIN,WOODCARE,EXTERIOR CLEAR",IN35200181,DN SADOLIN EXTERIOR CLR 2KPU SEALER 20L,20L,true,POOLED,
SADOLIN,Sealer,3,2K PU,2,2K PU SEALER,Interior Clear,2K Pu Sealer - Interior Clear,"2K PU SEALER,2KPU,SADOLIN,WOODCARE,INTERIOR CLEAR",IN35200371,DN SADOLIN INTERIOR CLR 2KPU SEALER 4L,4L,true,POOLED,
SADOLIN,Sealer,3,2K PU,2,2K PU SEALER,Interior Clear,2K Pu Sealer - Interior Clear,"2K PU SEALER,2KPU,SADOLIN,WOODCARE,INTERIOR CLEAR",IN35200372,DN SADOLIN INTERIOR CLR 2KPU SEALER 1L,1L,true,POOLED,
SADOLIN,Sealer,3,2K PU,2,2K PU SEALER,Interior Clear,2K Pu Sealer - Interior Clear,"2K PU SEALER,2KPU,SADOLIN,WOODCARE,INTERIOR CLEAR",IN35200381,DN SADOLIN INTERIOR CLR 2KPU SEALER 20L,20L,true,POOLED,
SADOLIN,Sealer,3,HYDRO PU,3,HYDRO PU SEALER,Clear,Hydro PU Sealer - Clear,"HYDRO PU SEALER,HYDRO PU,WATERBASED PU,WATER BASED,SADOLIN,WOODCARE,CLEAR,INTERIOR",5746640,DN SADOLIN HYDRO PU CLR SEALER 1L,1L,TRUE,NEW (not in DB yet),NEW SKU - insert into stock
