Base,Pack (on screen),SAP size,SAP code,On screen now?,Decision,Notes,isPrimary,SKU Description,Cartoon Size,Map To Product
BRILLIANT WHITE,10L,10L,IN28401082,NO,KEEP,,NO,DN GLOSS BRILLIANT WHITE 10L,,GLOSS
90 BASE,20L,20L,IN28009081,NO,KEEP,THIS IS 90 BASE AND NOT BRILLANT WHITE,NO,DN GLOSS WHITE BASE 20LT,,GLOSS
BRILLIANT WHITE,20L,20L,IN28301081,Yes,KEEP,,Yes,DN GLOSS BRILLIANT WHITE 20L,,GLOSS
BRILLIANT WHITE,20L,20L,IN28401081,NO,KEEP,,NO,DN GLOSS BRILLIANT WHITE 20L,,GLOSS
BUS GREEN,100ML,100ML,IN28905798,Yes,KEEP,,Yes,DN GLOSS BUS GREEN 100ML,24,GLOSS
BUS GREEN,200ML,200ML,IN28905774,Yes,KEEP,,Yes,DN GLOSS BUS GREEN 200ML,12,GLOSS
BUS GREEN,500ML,500ML,IN28905773,Yes,KEEP,,Yes,DN GLOSS BUS GREEN 500ML,12,GLOSS
BUS GREEN,1L,1L,IN28905772,Yes,KEEP,,Yes,DN GLOSS BUS GREEN 1LT,6,GLOSS
BUS GREEN,4L,4L,IN28905771,Yes,KEEP,,Yes,DN GLOSS BUS GREEN 4LT,4,GLOSS
BUS GREEN,20L,20L,IN28905781,Yes,KEEP,,Yes,DN GLOSS BUS GREEN 20LT,,GLOSS
CASCADE GREEN,1L,1L,IN28923572,Yes,KEEP,,Yes,DN GLOSS CASCADE GREEN 1LT,6,GLOSS
CASCADE GREEN,4L,4L,IN28923571,Yes,KEEP,,Yes,DN GLOSS CASCADE GREEN 4LT,4,GLOSS
CHERRY,500ML,500ML,IN28062573,Yes,KEEP,,Yes,DN GLOSS CHERRY 500ML,12,GLOSS
CHERRY,1L,1L,IN28062572,Yes,KEEP,,Yes,DN GLOSS CHERRY 1L,6,GLOSS
CHERRY,4L,4L,IN28062571,Yes,KEEP,,Yes,DN GLOSS CHERRY 4LT,4,GLOSS
CLASSIC WHITE,500ML,500ML,9058545,Yes,KEEP,,Yes,DN GLOSS CLASSIC WHITE 500ML,12,GLOSS
CLASSIC WHITE,1L,1L,9058544,Yes,KEEP,,Yes,DN GLOSS CLASSIC WHITE 1LT,6,GLOSS
CLASSIC WHITE,4L,4L,9058543,Yes,KEEP,,Yes,DN GLOSS CLASSIC WHITE 4LT,4,GLOSS
CLASSIC WHITE,10L,10L,9058547,Yes,KEEP,,Yes,DN GLOSS CLASSIC WHITE 10LT,,GLOSS
CLASSIC WHITE,20L,20L,9058546,Yes,KEEP,,Yes,DN GLOSS CLASSIC WHITE 20LT,,GLOSS
DA GREY,500ML,500ML,IN28010573,Yes,KEEP,,Yes,DN GLOSS DA GREY 500ML,12,GLOSS
DA GREY,1L,1L,IN28010572,Yes,KEEP,,Yes,DN GLOSS DA GREY 1L,6,GLOSS
DA GREY,4L,4L,IN28010571,Yes,KEEP,,Yes,DN GLOSS DA GREY 4LT,4,GLOSS
DA GREY,20L,20L,IN28010581,Yes,KEEP,,Yes,DN GLOSS DA GREY 20LT,,GLOSS
DARK BROWN,100ML,100ML,IN28912298,Yes,KEEP,,Yes,DN GLOSS DARK BROWN 100ML,24,GLOSS
DARK BROWN,200ML,200ML,IN28912274,Yes,KEEP,,Yes,DN GLOSS DARK BROWN 200ML,12,GLOSS
DARK BROWN,500ML,500ML,IN28912273,Yes,KEEP,,Yes,DN GLOSS DARK BROWN 500ML,12,GLOSS
DARK BROWN,1L,1L,IN28912272,Yes,KEEP,,Yes,DN GLOSS DARK BROWN 1L,6,GLOSS
DARK BROWN,4L,4L,IN28912271,Yes,KEEP,,Yes,DN GLOSS DARK BROWN 4L,4,GLOSS
DARK BROWN,10L,10L,IN28912282,Yes,KEEP,,Yes,DN GLOSS DARK BROWN 10L,,GLOSS
DARK BROWN,20L,20L,IN28912281,Yes,KEEP,,Yes,DN GLOSS DARK BROWN 20LT,,GLOSS
DAWN,500ML,500ML,IN28923773,Yes,KEEP,,Yes,DN GLOSS DAWN 500ML,12,GLOSS
DAWN,1L,1L,IN28923772,Yes,KEEP,,Yes,DN GLOSS DAWN 1LT,6,GLOSS
DAWN,4L,4L,IN28923771,Yes,KEEP,,Yes,DN GLOSS DAWN 4LT,4,GLOSS
DAWN,20L,20L,IN28923781,Yes,KEEP,,Yes,DN GLOSS DAWN 20L,,GLOSS
DEEP GREEN,500ML,500ML,IN28042773,Yes,KEEP,,Yes,DN GLOSS DEEP GREEN 500ML,12,GLOSS
DEEP GREEN,1L,1L,IN28042772,Yes,KEEP,,Yes,DN GLOSS DEEP GREEN 1LT,6,GLOSS
DEEP GREEN,4L,4L,IN28042771,Yes,KEEP,,Yes,DN GLOSS DEEP GREEN 4L,4,GLOSS
DEEP ORANGE,500ML,500ML,IN28916273,Yes,KEEP,,Yes,DN GLOSS DEEP ORANGE 500ML,12,GLOSS
