areaId,areaName,deliveryTypeName,routeId,routeName,activeFlag
320,Tatithaiya,Upcountry,14,Bardoli,true
321,Tower Road,Local,9,Adajan,true
322,Udaipur,Cross,18,IGT / CROSS,true
323,Sahara Darwaja,Local,9,Adajan,true
324,Udawada,Upcountry,12,Vapi,true
325,KARADVA,Local,7,Udhana,true
326,Udhana,Local,7,Udhana,true
327,DHOLA PIPLA,Upcountry,11,Navsari,true
328,Umala,Upcountry,17,Bharuch,true
329,Wagalkhod,Upcountry,17,Bharuch,true
330,Umargam,Upcountry,12,Vapi,true
331,Transport,Local,22,Transport,true
332,Umra,Local,6,Ghod Dod,true
333,Murdad,Upcountry,12,Vapi,true
334,Unai,Upcountry,13,Vansda,true
335,BHUJ,Cross,18,IGT / CROSS,true
336,Univercity Road,Local,6,Ghod Dod,true
337,Unn,Local,7,Udhana,true
338,Utran,Local,8,Varachha,true
339,Vadod,Local,7,Udhana,true
340,Vadodara,Cross,18,IGT / CROSS,true
341,UGAT (VANSDA),Upcountry,13,Vansda,true
342,Valsad,Upcountry,12,Vapi,true
343,BHARAUNDIGAM,Local,8,Varachha,true
344,VALVADA,Local,13,Vansda,true
345,Sisodara - Kosamba,Upcountry,17,Bharuch,true
346,Vandervela,Upcountry,13,Vansda,true
347,SYADLA,Upcountry,17,Bharuch,true
348,Vansda,Upcountry,13,Vansda,true
349,Vanskui,Upcountry,13,Vansda,true
350,KEVADIYA,Upcountry,17,Bharuch,true
351,Vapi,Upcountry,12,Vapi,true
352,Tarsadi,Upcountry,14,Bardoli,true
353,Varachha,Local,8,Varachha,true
354,Ved Road,Local,8,Varachha,true
355,Velanja,Upcountry,8,Varachha,true
356,Kumbharia,Local,5,Parvat,true
357,Vesma,Upcountry,11,Navsari,true
358,NARTHAN,Upcountry,9,Adajan,true
359,Vesu,Local,6,Ghod Dod,true
360,Nagpur,Cross,18,IGT / CROSS,true
361,Vesugam,Local,6,Ghod Dod,true
362,Karmali,Upcountry,17,Bharuch,true
363,Vihan,Upcountry,11,Navsari,true
364,Kanjanhari,Upcountry,12,Vapi,true
365,Vijalpor,Upcountry,11,Navsari,true
366,TUMBI,Upcountry,12,Vapi,true
367,Vyara,Upcountry,14,Bardoli,true
368,PANVEL,Cross,18,IGT / CROSS,true
369,Waghai,Upcountry,13,Vansda,true
370,KESHOD,Cross,18,IGT / CROSS,true
371,Yogi Chowk,Local,8,Varachha,true
372,SANIYA HEMAD,Local,5,Parvat,true
373,DHANBAD,Cross,18,IGT / CROSS,true
374,Zaghadiya,Upcountry,17,Bharuch,true
375,Panoli,Upcountry,17,Bharuch,true
376,DHAMROD,Upcountry,17,Bharuch,true
377,Moti Tambdi,Upcountry,12,Vapi,true
378,Dambher,Upcountry,11,Navsari,true
379,Saputara,Upcountry,13,Vansda,true
380,RAIGAD,Cross,18,IGT / CROSS,true
381,Padgha,Upcountry,11,Navsari,true
382,Dandi,Upcountry,9,Adajan,true
383,Tamil Nadu,Cross,18,IGT / CROSS,true
384,MANGLORE,Cross,18,IGT / CROSS,true
385,Dholikui,Upcountry,14,Bardoli,true
386,Syadla,Upcountry,17,Bharuch,true
387,DADRA NAGAR HAWELI,Upcountry,12,Vapi,true
388,Haldharu,Upcountry,14,Bardoli,true
389,BHACHAU,Cross,18,IGT / CROSS,true
390,Dabhel,Upcountry,11,Navsari,true
391,Mundra,Cross,18,IGT / CROSS,true
392,Dhaludi,Upcountry,19,Kamrej,true
393,Kheda,Cross,18,IGT / CROSS,true
394,Bilaspur,Cross,,,true
