--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Delivery  |ShPt  |SLoc|Dv|Sold-To Pt|Name of sold-to party |Ship-To|Name of the ship-to party|Ref. Doc. |DlvTy|ItCa|Item|Material  |Description                             |Delivery qty|     Volume| Net weight| Total Wght|Batch     |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN |  90|9075191   |DN Aquatech Interior WBC New 20L        |          0 |         0 |         0 |         0 |          |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN | 100|5580867   |DN Aquatech Damp Protect Basecoat 20L   |          0 |         0 |         0 |         0 |          |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN | 110|5964277   |DN Aquatech Crackfiller Paste 5MM 1KG   |          0 |         0 |         0 |         0 |          |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN | 120|5964276   |DN Aquatech Crackfiller Paste 5MM 300G  |          0 |         0 |         0 |         0 |          |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN | 001|IN77009071|DN Aquatech FBC Advance 4L              |          8 |        32 |    40.960 |    42.648 |C20260801 |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN | 002|IN82000072|DN WTP Aquatech Roof Coat 1L            |         12 |        12 |    14.760 |    16.092 |C20260301 |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN | 003|IN82000071|DN WTP Aquatech Roof Coat 4L            |          8 |        32 |    39.360 |    42.008 |T20260801 |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN | 004|5882382   |DN WTP Aquatech Roof Coat 10L           |          1 |        10 |    12.200 |    13.016 |T20260901 |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN | 005|IN82000081|DN WTP Aquatech Roof Coat 20L           |         20 |       400 |       496 |   516.200 |T20260801 |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN | 006|5908363   |DN Aquatech Damp Protect 2in1 1L        |          6 |         6 |     7.320 |     7.680 |T20260801 |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN | 007|5908364   |DN Aquatech Damp Protect 2in1 4L        |          8 |        32 |    39.040 |    41.120 |T20260801 |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN | 008|9075187   |DN Aquatech Interior WBC New 1L         |         18 |        18 |    21.240 |    24.660 |T20260401 |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN | 009|9075191   |DN Aquatech Interior WBC New 20L        |         40 |       800 |       944 | 1,043.200 |T20260701 |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN | 010|5580867   |DN Aquatech Damp Protect Basecoat 20L   |         20 |       400 |       488 |   524.200 |T20260801 |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN | 011|5964277   |DN Aquatech Crackfiller Paste 5MM 1KG   |         60 |        60 |        60 |        66 |C20260101 |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN | 012|5964276   |DN Aquatech Crackfiller Paste 5MM 300G  |         24 |     7.200 |     7.200 |    10.560 |C20260101 |
|  9109286777|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790610|LF   |TAN |  10|IN77009081|DN Aquatech FBC Advance 20L             |          0 |         0 |         0 |         0 |          |
|  9109286777|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790610|LF   |TAN | 001|IN77009081|DN Aquatech FBC Advance 20L             |        100 |     2,000 |     2,560 |     2,621 |T20260601 |
|  9109286778|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790618|LF   |TAN |  10|IN77009081|DN Aquatech FBC Advance 20L             |          0 |         0 |         0 |         0 |          |
|  9109286778|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790618|LF   |TAN | 001|IN77009081|DN Aquatech FBC Advance 20L             |         45 |       900 |     1,152 | 1,179.450 |T20260601 |
|  9109286779|IN53  |2000|70|724579    |SHREE JANTA ELECTRIC  |724579 |SHREE JANTA ELECTRIC & H |1046790619|LF   |TAN |  10|IN29320272|DN PROMISE ENML WHITE 1L                |          0 |         0 |         0 |         0 |          |
