menuId,family,subProduct,menuBaseColour,displayName,proposedStockProduct,proposedBaseColour,baseColourChanged,packsUnlocked,packList,sampleMaterials,confidence,reviewReason
2288,AQUATECH,DAMP PROTECT BASECOAT,BASECOAT,Damp Protect Basecoat,ETERNA,BASECOAT,N,4,4|LT;10|LT;20|LT;1|LT,5852438;5852439;5852440,HIGH,
2292,AQUATECH,ROOF COAT,TERACOTTA,Roof Coat,FLOOR PLUS,TERACOTTA,N,3,1|LT;4|LT;10|LT,5727740;5727741;5727742,REVIEW,"2 products carry base ""TERACOTTA""; name-ranked:  (+2 with no name match)"
2231,DISTEMPER,ACRYLIC DISTEMPER,INTERIOR DISTEMPER,Acrylic Distemper,ACRYLIC DISTEMPER,DUWEL ACRYLIC DISTEMPER,Y,3,10|KG;20|KG;5|KG,IN39751012;IN39751020;IN39751025,REVIEW,"no exact base match for ""INTERIOR DISTEMPER""; name→ACRYLIC DISTEMPER; nearest base ""DUWEL ACRYLIC DISTEMPER""; other name candidates: PROMISE SMARTCHOICE ACRYLIC DISTEMPER"
2012,MAX,MAX,BRILLIANT WHITE,Dulux WS Max,WS MAX,BRILLIANT WHITE,N,4,1|L;4|L;10|L;20|LT,5948204;5948205;5948206,REVIEW,"35 products carry base ""BRILLIANT WHITE""; name-ranked: WS MAX[12], WS PROTECT RAINPROOF[1], WS POWERFLEXX[1], WS PROTECT DUSTPROOF[1] (+31 with no name match)"
2013,MAX,MAX,90 BASE,Dulux WS Max,WS MAX,90 BASE,N,4,4|LT;20|LT;1|LT;10|LT,5948209;5948211;5948208,REVIEW,"26 products carry base ""90 BASE""; name-ranked: WS MAX[12], WS POWERFLEXX[1], WS PROTECT RAINPROOF[1], WS PROTECT DUSTPROOF[1] (+22 with no name match)"
2014,MAX,MAX,92 BASE,Dulux WS Max,WS MAX,92 BASE,N,4,10|LT;20|LT;1|LT;4|LT,5948214;5948215;5948212,REVIEW,"26 products carry base ""92 BASE""; name-ranked: WS MAX[12], WS POWERFLEXX[1], WS PROTECT RAINPROOF[1], WS PROTECT DUSTPROOF[1], WS PROTECT[1] (+21 with no name match)"
2015,MAX,MAX,93 BASE,Dulux WS Max,WS MAX,93 BASE,N,4,10|LT;1|L;20|L;4|LT,5769801;5948216;5948219,REVIEW,"22 products carry base ""93 BASE""; name-ranked: WS MAX[12], WS POWERFLEXX[1], WS PROTECT RAINPROOF[1], WS PROTECT DUSTPROOF[1] (+18 with no name match)"
2016,MAX,MAX,94 BASE,Dulux WS Max,WS MAX,94 BASE,N,6,1|LT;4|LT;10|LT;20|LT;0.9|L;3.6|L,5948220;5948221;5948222,REVIEW,"24 products carry base ""94 BASE""; name-ranked: WS MAX[12], WS POWERFLEXX[1], WS PROTECT RAINPROOF[1], WS PROTECT DUSTPROOF[1], WS PROTECT[1] (+19 with no name match)"
2017,MAX,MAX,95 BASE,Dulux WS Max,WS MAX,95 BASE,N,7,1|LT;4|LT;20|LT;3.6|L;0.9|L;18|L;10|L,5948224;5948225;5948227,REVIEW,"12 products carry base ""95 BASE""; name-ranked: WS MAX[12], WS POWERFLEXX[1], WS PROTECT RAINPROOF[1], WS PROTECT DUSTPROOF[1], WS PROTECT[1] (+7 with no name match)"
2018,MAX,MAX,96 BASE,Dulux WS Max,WS MAX,96 BASE,N,4,1|LT;10|LT;20|LT;4|L,IN46359672;5948230;5948231,REVIEW,"13 products carry base ""96 BASE""; name-ranked: WS MAX[12], WS POWERFLEXX[1], WS PROTECT RAINPROOF[1], WS PROTECT DUSTPROOF[1] (+9 with no name match)"
2019,MAX,MAX,97 BASE,Dulux WS Max,WS MAX,97 BASE,N,4,20|LT;1|L;4|L;10|L,5948235;5948232;5948233,REVIEW,"13 products carry base ""97 BASE""; name-ranked: WS MAX[12], WS POWERFLEXX[1], WS PROTECT RAINPROOF[1], WS PROTECT DUSTPROOF[1] (+9 with no name match)"
2020,MAX,MAX,98 BASE,Dulux WS Max,WS MAX,98 BASE,N,4,1|L;4|L;10|L;20|L,5948236;5948237;5948238,REVIEW,"5 products carry base ""98 BASE""; name-ranked: WS MAX[12], WS POWERFLEXX[1], WS PROTECT DUSTPROOF[1], WS PROTECT[1] (+1 with no name match)"
2022,MAX,MAX,YELLOW BASE,Dulux WS Max,WS PROTECT,YELLOW BASE,N,4,18|L;3.6|L;0.9|L;9|L,IN36309881;IN36409671;IN36409672,REVIEW,"4 products carry base ""YELLOW BASE""; name-ranked: WS PROTECT[1] (+3 with no name match)"
2021,MAX,MAX,PASTEL BASE,Dulux WS Max,WS MAX,PASTEL BASE,N,3,1|LT;10|LT;20|LT,IN46109172;IN46109182;IN46109181,REVIEW,"3 products carry base ""PASTEL BASE""; name-ranked: WS MAX[12] (+2 with no name match)"
2023,MAX,MAX,YELLOW OXIDE,Dulux WS Max,WS MAX,YELLOW OXIDE,N,3,10|LT;20|LT;18|L,IN46109627;IN46309681;IN46359681,REVIEW,"4 products carry base ""YELLOW OXIDE""; name-ranked: WS MAX[12], WS PROTECT[1] (+2 with no name match)"
2024,MAX,MAX,ROX,Dulux WS Max,WS MAX,ROX,N,1,0.9|L,IN46109772,REVIEW,"2 products carry base ""ROX""; name-ranked: WS MAX[12], WS PROTECT[1]"
2025,MAX,MAX,RED OXIDE,Dulux WS Max,WS MAX,RED OXIDE,N,3,4|LT;10|LT;20|LT,IN46309771;IN46109782;IN46109781,REVIEW,"3 products carry base ""RED OXIDE""; name-ranked: WS MAX[12], WS PROTECT[1] (+1 with no name match)"
2026,POWERFLEXX,POWERFLEXX,BRILLIANT WHITE,Dulux WS Powerflexx,WS POWERFLEXX,BRILLIANT WHITE,N,7,4|LT;10|LT;20|LT;1|L;4|L;10|L;20|L,5771982;5771983;5771984,REVIEW,"35 products carry base ""BRILLIANT WHITE""; name-ranked: WS POWERFLEXX[12], WS MAX[1], WS PROTECT RAINPROOF[1], WS PROTECT DUSTPROOF[1] (+31 with no name match)"
2027,POWERFLEXX,POWERFLEXX,90 BASE,Dulux WS Powerflexx,WS POWERFLEXX,90 BASE,N,4,1|L;4|L;10|L;20|L,5948172;5948173;5948174,REVIEW,"26 products carry base ""90 BASE""; name-ranked: WS POWERFLEXX[12], WS MAX[1], WS PROTECT RAINPROOF[1], WS PROTECT DUSTPROOF[1] (+22 with no name match)"
2028,POWERFLEXX,POWERFLEXX,92 BASE,Dulux WS Powerflexx,WS POWERFLEXX,92 BASE,N,5,3.6|L;1|L;4|L;10|L;20|L,IN76109271;5948176;5948177,REVIEW,"26 products carry base ""92 BASE""; name-ranked: WS POWERFLEXX[12], WS MAX[1], WS PROTECT RAINPROOF[1], WS PROTECT DUSTPROOF[1], WS PROTECT[1] (+21 with no name match)"
2029,POWERFLEXX,POWERFLEXX,93 BASE,Dulux WS Powerflexx,WS POWERFLEXX,93 BASE,N,4,1|LT;10|LT;20|LT;4|L,5769795;5769797;5769798,REVIEW,"22 products carry base ""93 BASE""; name-ranked: WS POWERFLEXX[12], WS MAX[1], WS PROTECT RAINPROOF[1], WS PROTECT DUSTPROOF[1] (+18 with no name match)"
2030,POWERFLEXX,POWERFLEXX,94 BASE,Dulux WS Powerflexx,WS POWERFLEXX,94 BASE,N,4,1|L;4|L;10|L;20|L,5948184;5948185;5948186,REVIEW,"24 products carry base ""94 BASE""; name-ranked: WS POWERFLEXX[12], WS MAX[1], WS PROTECT RAINPROOF[1], WS PROTECT DUSTPROOF[1], WS PROTECT[1] (+19 with no name match)"
2031,POWERFLEXX,POWERFLEXX,95 BASE,Dulux WS Powerflexx,WS POWERFLEXX,95 BASE,N,4,10|LT;20|LT;1|L;4|L,5771999;5772000;5948188,REVIEW,"12 products carry base ""95 BASE""; name-ranked: WS POWERFLEXX[12], WS MAX[1], WS PROTECT RAINPROOF[1], WS PROTECT DUSTPROOF[1], WS PROTECT[1] (+7 with no name match)"
2032,POWERFLEXX,POWERFLEXX,96 BASE,Dulux WS Powerflexx,WS POWERFLEXX,96 BASE,N,4,10|LT;1|L;4|L;20|L,5772003;5948192;5948193,REVIEW,"13 products carry base ""96 BASE""; name-ranked: WS POWERFLEXX[12], WS MAX[1], WS PROTECT RAINPROOF[1], WS PROTECT DUSTPROOF[1] (+9 with no name match)"
2033,POWERFLEXX,POWERFLEXX,97 BASE,Dulux WS Powerflexx,WS POWERFLEXX,97 BASE,N,4,1|L;4|L;10|L;20|L,5948196;5948197;5948198,REVIEW,"13 products carry base ""97 BASE""; name-ranked: WS POWERFLEXX[12], WS MAX[1], WS PROTECT RAINPROOF[1], WS PROTECT DUSTPROOF[1] (+9 with no name match)"
